epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.37,1.20858,1.95704,1.61858,0.65254,0.50754,0.59255,0.32724,1.39525,1.54959,1.98772,0.00332362,0.00332362,0.00332362
2,214.225,1.20453,1.39874,1.5933,0.68215,0.48577,0.53274,0.27818,1.52528,1.44109,2.13068,0.006624,0.006624,0.006624
3,320.914,1.28682,1.36558,1.66989,0.60756,0.33409,0.3727,0.18328,1.766,1.73485,2.49512,0.00989138,0.00989138,0.00989138
4,428.731,1.3408,1.34865,1.72035,0.62622,0.48205,0.50653,0.25473,1.60483,1.58733,2.27371,0.0098515,0.0098515,0.0098515
5,535.654,1.30324,1.27642,1.69168,0.59053,0.42027,0.45157,0.23259,1.73151,1.58115,2.53179,0.009802,0.009802,0.009802
6,643.84,1.27096,1.20763,1.66365,0.6365,0.50382,0.5555,0.3111,1.47308,1.3148,2.05494,0.0097525,0.0097525,0.0097525
7,752.498,1.24736,1.164,1.63934,0.69691,0.55552,0.63229,0.37592,1.38591,1.07969,1.93519,0.009703,0.009703,0.009703
8,860.114,1.23037,1.12355,1.62435,0.62247,0.52142,0.56929,0.33401,1.3936,1.1477,1.94063,0.0096535,0.0096535,0.0096535
9,966.779,1.21487,1.11323,1.61758,0.55793,0.5204,0.55962,0.32446,1.48216,1.32305,2.0195,0.009604,0.009604,0.009604
10,1072.98,1.20348,1.08231,1.60472,0.68325,0.5937,0.66223,0.3969,1.33737,0.98604,1.88501,0.0095545,0.0095545,0.0095545
11,1179.22,1.19578,1.07151,1.60198,0.72484,0.62111,0.68128,0.41041,1.32781,0.98434,1.84811,0.009505,0.009505,0.009505
12,1285.96,1.18277,1.04444,1.59338,0.72486,0.59127,0.66907,0.40194,1.3252,0.99896,1.86073,0.0094555,0.0094555,0.0094555
13,1392.2,1.17014,1.03139,1.58194,0.75253,0.59742,0.6791,0.41356,1.29406,0.96197,1.8455,0.009406,0.009406,0.009406
